data_year,Provider CCN,Hospital Name,City,State Code,County,Number of Beds,Net Patient Revenue,Less Total Operating Expense,Inpatient Revenue,Outpatient Revenue,Total Patient Revenue,Net Income from Service to Patients,Net Income,Total Current Assets,Total Current Liabilities,Cash on Hand and in Banks,Temporary Investments,Total Assets,Total Liabilities,operating_margin_pct,current_ratio,days_cash_on_hand,debt_to_asset_ratio,outpatient_pct,Hospital Name_trend,State Code_trend,2017,2018,2019,2020,2021,2022,2023,years_available,margin_change_2017_2023,margin_change_2020_2023,current_margin_pct,cah_y3_margin_pct,reh_y3_margin_pct,margin_improvement,revenue_change,revenue_change_pct,solvency_improved,recommendation,hospital_name,state,scenario,year,revenue,costs,net_income,margin_pct,hospital_name_proj,state_proj,Count,Avg Margin %,Median Margin %,Std Margin %,Avg Revenue,Avg Days Cash,Avg Current Ratio
2017,371311,JEFFERSON COUNTY HOSPITAL,WAURIKA,OK,JEFFERSON,25.0,640788.0,1424667.0,353161.0,695701.0,1048862.0,-783879.0,-921809.0,931147.0,1995343.0,26123.0,47516.0,1021174.0,2149212.0,-122.3304743534523,0.4666601180849608,18.86632806122413,2.10464817944836,66.32912623395643,JEFFERSON COUNTY HOSPITAL,OK,-122.3304743534523,-0.1337702379405067,4.947098026309237,5.306232698002235,9.906418965157073,14.43942077218522,8.494823193091843,7,130.82529754654414,3.188590495089608,8.494823193091843,0.009822663317673,0.0,-0.009822663317673,,,False,EVALUATE,JEFFERSON COUNTY HOSPITAL,OK,CAH_Baseline,1.0,39161592.0,36909930.52,2251661.4799999967,5.749667888884591,JEFFERSON COUNTY HOSPITAL,OK,193,-30.89,-20.29,59.97,14642612.55,169.39,3.77
2017,371311,JEFFERSON COUNTY HOSPITAL,WAURIKA,OK,JEFFERSON,25.0,1447476.0,2119760.0,276364.0,1938365.0,2214729.0,-672284.0,27289.0,-726798.0,270845.0,80168.0,,323726.0,296437.0,-46.44526057772288,-2.683446251546087,,0.9157034034955488,87.52154326782193,JEFFERSON COUNTY HOSPITAL,OK,-122.3304743534523,-0.1337702379405067,4.947098026309237,5.306232698002235,9.906418965157073,14.43942077218522,8.494823193091843,7,130.82529754654414,3.188590495089608,8.494823193091843,0.009822663317673,0.0,-0.009822663317673,,,False,EVALUATE,JEFFERSON COUNTY HOSPITAL,OK,CAH_Baseline,1.0,39161592.0,36909930.52,2251661.4799999967,5.749667888884591,JEFFERSON COUNTY HOSPITAL,OK,193,-30.89,-20.29,59.97,14642612.55,169.39,3.77
2017,451325,CONCHO COUNTY HOSPITAL,EDEN,TX,CONCHO,16.0,5756208.0,8516512.0,1113282.0,6973502.0,8086784.0,-2760304.0,-1255577.0,4044583.0,835026.0,3153213.0,,11164120.0,1202761.0,-47.95351384105647,4.843661155461027,,0.1077345101987438,86.23331598816043,CONCHO COUNTY HOSPITAL,TX,-47.95351384105647,-17.209188977574378,-40.94911245225643,-72.24321240944056,-25.14838868544771,-73.3519495716247,-58.568525153760135,7,-10.615011312703665,13.674687255680425,-58.568525153760135,-73.27210878569285,0.0,73.27210878569285,,,True,CONVERT,CONCHO COUNTY HOSPITAL,TX,CAH_Baseline,1.0,7402114.0,12089545.69,-4687431.69,-63.32558090837293,CONCHO COUNTY HOSPITAL,TX,193,-30.89,-20.29,59.97,14642612.55,169.39,3.77
2017,451378,BIG BEND REGIONAL MED CTR,ALPINE,TX,BREWSTER,25.0,21222644.0,20621883.0,24661803.0,46244764.0,70906567.0,600761.0,940595.0,5081086.0,-1798942.0,7993.0,,16182177.0,-1798942.0,2.8307547353666207,-2.824485725498654,,-0.1111681079745945,65.21929626066934,BIG BEND REGIONAL MED CTR,TX,2.8307547353666207,-8.990256258043978,-3.3479576820984387,-6.4189255138884045,-0.9433631006786568,-18.938152778133727,4.997753039999457,7,2.1669983046328367,11.416678553887865,4.997753039999457,-3.81152031386052,0.0,3.81152031386052,,,False,EVALUATE,BIG BEND REGIONAL MED CTR,TX,CAH_Baseline,1.0,28015630.0,27413942.34,601687.6600000001,2.1476856311994417,BIG BEND REGIONAL MED CTR,TX,193,-30.89,-20.29,59.97,14642612.55,169.39,3.77
2017,371305,NOWATA HEALTH CENTER,NOWATA,OK,NOWATA,25.0,5005015.0,5149985.0,1968312.0,5977072.0,7945384.0,-144970.0,-134018.0,1094937.0,822064.0,1648.0,,2804940.0,822064.0,-2.896494815699853,1.3319364429046887,,0.2930772137728436,75.22697455528896,NOWATA HEALTH CENTER,OK,-2.896494815699853,1.328722578921601,-6.772214045517742,-58.56053376514054,-18.823669160256426,-23.34605976399273,-5.075928299841735,7,-2.1794334841418816,53.484605465298806,-5.075928299841735,-14.819303903301156,0.0,14.819303903301156,,,True,CONVERT,NOWATA HEALTH CENTER,OK,CAH_Baseline,1.0,5559653.0,6017112.71,-457459.71,-8.228206148836986,NOWATA HEALTH CENTER,OK,193,-30.89,-20.29,59.97,14642612.55,169.39,3.77
2017,371301,CAH ACQUISITION COMPANY #7 LLC,PRAGUE,OK,POTTAWATOMIE,25.0,5079604.0,6082675.0,3131492.0,11454725.0,14586217.0,-1003071.0,225467.0,316065.0,873353.0,-5064.0,,915027.0,1071046.0,-19.747031461507632,0.3618983389305355,,1.1705075369360685,78.53115718763817,CAH ACQUISITION COMPANY #7 LLC,OK,-19.747031461507632,-23.21725495645417,-14.847672311757083,,,,,3,,,-18.12863322620401,-29.082346999370223,0.0,29.082346999370223,,,True,CONVERT,PRAGUE COMMUNITY HOSPITAL,OK,CAH_Baseline,1.0,15813597.0,19240797.58,-3427200.580000002,-21.67249222299014,PRAGUE COMMUNITY HOSPITAL,OK,193,-30.89,-20.29,59.97,14642612.55,169.39,3.77
2017,451301,REAGAN MEMORIAL HOSPITAL,BIG LAKE,TX,REAGAN,7.0,8269967.0,14040497.0,1917183.0,7306455.0,9223638.0,-5770530.0,2793675.0,5104901.0,1648416.0,1555770.0,,45466663.0,33451592.0,-69.77694106880958,3.096852372216722,,0.7357388863132533,79.21445963078777,REAGAN MEMORIAL HOSPITAL,TX,-69.77694106880958,-210.17933683274543,-131.70123854781238,-206.07992731791697,-172.73293641529256,-118.2874381945637,-124.73513204850777,7,-54.95819097969817,81.34479526940922,-124.73513204850777,-145.57414663796973,0.0,145.57414663796973,,,True,CONVERT,REAGAN MEMORIAL HOSPITAL,TX,CAH_Baseline,1.0,7873546.0,18225462.72,-10351916.72,-131.47718600996296,REAGAN MEMORIAL HOSPITAL,TX,193,-30.89,-20.29,59.97,14642612.55,169.39,3.77
2017,451375,LIBERTY-DAYTON REGIONAL MEDICAL CENT,LIBERTY,TX,LIBERTY,25.0,7123874.0,11691689.0,1449062.0,26061766.0,27510828.0,-4567815.0,156119.0,4219540.0,2449150.0,1330246.0,,4483554.0,3554852.0,-64.11981739149233,1.722858951064655,,0.7928647675482441,94.73275758912092,LIBERTY-DAYTON REGIONAL MEDICAL CENT,TX,-64.11981739149233,-44.74007723787551,-93.75057050192784,-75.71529187854192,-43.53692953692573,-72.24704309983709,-525.6778064770301,7,-461.55798908553777,-449.9625145984882,-525.6778064770301,-583.6950324382257,0.0,583.6950324382257,,,True,CONVERT,LIBERTY-DAYTON REGIONAL MEDICAL CENT,TX,CAH_Baseline,1.0,4335382.0,27939288.69,-23603906.69,-544.4481406713411,LIBERTY-DAYTON REGIONAL MEDICAL CENT,TX,193,-30.89,-20.29,59.97,14642612.55,169.39,3.77
2017,371318,CAH #12 - FAIRFAX,FAIRFAX,OK,OSAGE,15.0,4742750.0,5586530.0,4845448.0,8197786.0,13043234.0,-843780.0,45846.0,1758654.0,2732453.0,310178.0,,2013827.0,3223223.0,-17.790944072531758,0.6436172918619277,,1.6005461243691737,62.85086965395239,CAH #12 - FAIRFAX,OK,-17.790944072531758,-31.1044992394852,1330.297795230402,-71.04644998706057,,,,4,,,-83.07670099324997,-100.05285424625109,0.0,100.05285424625109,,,True,CONVERT,FAIRFAX COMMUNITY HOSPITAL,OK,CAH_Baseline,1.0,26365669.0,49717478.91,-23351809.910000004,-88.56900202304749,FAIRFAX COMMUNITY HOSPITAL,OK,193,-30.89,-20.29,59.97,14642612.55,169.39,3.77
2017,451372,MULESHOE AREA MEDICAL CENTER,MULESHOE,TX,BAILEY,25.0,6799494.0,9304142.0,2389653.0,8906933.0,11296586.0,-2504648.0,-580726.0,2944745.0,2031637.0,632947.0,,3448645.0,3411596.0,-36.83579984039989,1.44944446276574,,0.9892569400445682,78.84623726141685,MULESHOE AREA MEDICAL CENTER,TX,-36.83579984039989,-29.82407068110573,-21.892722453903808,-34.75348531178681,-39.66341140290717,-50.51702554837024,-58.702089473603245,7,-21.86628963320335,-23.948604161816437,-58.702089473603245,-73.41805812422206,0.0,73.41805812422206,,,True,CONVERT,MULESHOE AREA MEDICAL CENTER,TX,CAH_Baseline,1.0,5785237.0,9456730.76,-3671493.76,-63.46315215781133,MULESHOE AREA MEDICAL CENTER,TX,193,-30.89,-20.29,59.97,14642612.55,169.39,3.77
